Input Data Generation,Neural Network Construction,Hyperparameter Initialization,Import Addition and Dependency Resolution,Logging,Obsolete Parameter Removal,Compiler Error Resolution,Dataset Procurement,Downloading Models and Tokenizers,Framework Migration,Subfault
0,0,0,0,0,1,0,0,0,0,Hyperparameters
0,0,1,1,0,0,0,0,0,0,Hyperparameters
0,0,1,0,1,0,0,0,0,0,Hyperparameters
1,0,1,1,0,0,0,0,0,0,Hyperparameters
1,0,0,0,1,0,0,0,0,0,Hyperparameters
1,0,1,0,0,0,1,1,0,0,Hyperparameters
0,0,1,1,1,0,0,0,0,0,Hyperparameters
1,0,1,0,1,1,0,0,0,0,Hyperparameters
0,0,1,1,1,0,1,1,0,1,Hyperparameters
1,0,0,0,0,0,1,0,0,0,Hyperparameters
0,0,1,1,0,0,1,0,0,1,Hyperparameters
1,0,0,0,0,1,1,1,0,1,Hyperparameters
1,0,1,1,0,0,0,0,0,1,Hyperparameters
0,0,0,0,0,0,0,0,0,0,Hyperparameters
0,1,0,1,0,0,0,0,1,1,Layer
0,1,1,0,0,0,0,0,0,0,Layer
1,1,0,0,1,0,1,0,0,1,Layer
1,1,1,0,1,1,1,1,0,1,Layer
1,0,1,0,1,0,0,1,0,0,Layer
0,1,0,1,0,0,1,0,0,1,Layer
0,1,0,0,0,0,1,1,0,1,Layer
0,0,1,0,0,0,1,0,0,1,Layer
1,1,0,0,0,0,0,1,1,0,Layer
0,1,1,0,0,0,0,0,0,0,Layer
1,1,1,0,0,1,0,1,0,0,Layer
1,0,1,0,0,0,0,0,0,0,Layer
0,1,0,1,0,0,0,0,0,0,Layer
0,1,1,0,1,0,0,1,0,0,Layer
1,1,0,1,0,0,1,0,0,0,Loss
0,0,1,1,0,0,0,0,0,1,Loss
1,0,0,1,1,0,0,0,0,0,Loss
1,1,1,1,1,0,0,0,1,1,Loss
0,1,0,0,1,0,1,0,0,0,Loss
0,0,1,0,0,0,0,1,1,0,Loss
0,0,1,0,1,0,1,1,1,0,Loss
0,1,1,0,0,0,0,0,0,0,Loss
1,0,1,0,1,0,0,1,0,0,Loss
0,1,1,1,1,0,0,0,0,0,Loss
0,0,0,0,1,0,0,0,0,1,Loss
0,0,1,0,0,0,0,0,0,0,Loss
0,0,0,0,0,1,0,1,0,0,Model
0,1,0,0,0,0,0,0,0,0,Model
0,1,0,1,0,0,1,0,0,0,Model
0,0,1,0,0,0,1,0,0,0,Model
1,1,1,0,0,0,1,0,0,1,Model
0,1,0,0,0,0,0,1,0,1,Model
1,1,0,1,0,1,0,0,0,1,Model
0,1,1,1,0,0,0,1,0,0,Model
0,1,0,0,0,1,0,0,0,0,Model
1,0,1,0,0,0,1,1,0,0,Model
0,1,0,1,0,0,0,0,1,0,Model
0,1,0,0,0,0,0,0,0,0,Model
0,0,1,1,1,1,0,0,0,1,Model
0,1,1,0,1,0,0,0,0,0,Model
1,1,1,0,0,0,1,0,0,0,Optimisation
0,0,1,0,0,0,0,0,0,1,Optimisation
0,0,0,0,1,0,0,0,0,0,Optimisation
1,0,1,1,1,0,0,0,0,0,Optimisation
1,1,0,0,0,0,0,0,0,0,Optimisation
